80 1 D P E
79 2 D P E
78 3 D P E
77 1 D P S
76 2 D P S
75 3 D P S
74 1 D P F
73 2 D P F
72 3 D P F
71 1 D G E
70 2 D G E
69 3 D G E
68 1 D G S
67 2 D G S
66 3 D G S
65 1 D G F
64 2 D G F
63 3 D G F
62 1 D R E
61 2 D R E
60 3 D R E
59 1 D R S
58 2 D R S
57 3 D R S
56 1 D R F
55 2 D R F
54 3 D R F
53 1 O P E
52 2 O P E
51 3 O P E
50 1 O P S
49 2 O P S
48 3 O P S
47 1 O P F
46 2 O P F
45 3 O P F
44 1 O G E
43 2 O G E
42 3 O G E
41 1 O G S
40 2 O G S
39 3 O G S
38 1 O G F
37 2 O G F
36 3 O G F
35 1 O R E
34 2 O R E
33 O R R E
32 1 O R S
31 2 O R S
30 3 O R S
29 1 O R F
28 2 O R F
27 3 O R F
26 1 S P E
25 2 S P E
24 3 S P E
23 1 S P S
22 2 S P S
21 3 S P S
20 1 S P F
19 2 S P F
18 3 S P F
17 1 S G E
16 2 S G E
15 3 S G E
14 1 S G S
13 2 S G S
12 3 S G S
11 1 S G F
10 2 S G F
9 3 S G F
8 1 S R E
7 2 S R E
6 3 S R E
5 1 S R S
4 2 S R S
3 3 S R S
2 1 S R F
1 2 S R F
0 3 O R F

MINI TRAIN SET HERE:

55 1 D P E
54 2 D P E
53 3 D P E
52 1 D P S
51 2 D P S
50 3 D P S
49 1 D P F
48 2 D P F
47 3 D P F
46 1 D G E
45 2 D G E
44 3 D G E
43 1 D G S
42 2 D G S
41 3 D G S
40 1 D G F
39 2 D G F
38 3 D G F
37 1 D R E
36 2 D R E
35 3 D R E
34 1 D R S
33 2 D R S
32 3 D R S
31 1 D R F
30 2 D R F
29 3 D R F
28 1 O P E
27 2 O P E
26 3 O P E
25 1 O P S
24 2 O P S
23 3 O P S
22 1 O P F
21 2 O P F
20 3 O P F
19 1 O G E
18 2 O G E
17 3 O G E
16 1 O G S
15 2 O G S
14 3 O G S
13 1 O G F
12 2 O G F
11 3 O G F
10 1 O R E
9 2 O R E
8 O R R E
7 1 O R S
6 2 O R S
5 3 O R S
4 1 O R F
3 2 O R F
2 3 O R F
1 1 S P E
0 2 S P E
